time_s,time_h,NTP_uM,NXP_uM,nt_uM,A_uM,T_uM,AT_uM,a_uM,CP_uM,C_uM,TLcat_uM,D_nt_uM,D_TLcat_uM,mRNA_molecules_uM,protein_molecules_uM
3590,0.997222222222222,1463.8787754457,0.157241807170392,125.619672994806,294.209454107299,0.00393771452419537,1.8960622854758,28.592052722106,19827.1622185395,172.837781460481,1.12830596332113,18.7079834152336,1.07169403667887,0.175937917359672,0.120134675302966
3600,1,1463.77834417625,0.157192971627812,125.921836454496,294.20428517762,0.00393653500208736,1.89606346499791,28.6953770576783,19826.8521424392,173.147857560758,1.12620926476364,18.8075938688648,1.07379073523637,0.176361115482487,0.120568811166716
3610,1.00277777777778,1463.67791350777,0.157143160739008,126.223759267541,294.199117842003,0.00393533070391292,1.89606466929609,28.7986683723053,19826.5421632867,173.457836713243,1.12411646244084,18.9074435406474,1.07588353755917,0.176783976565183,0.121002808286997
3620,1.00555555555556,1463.5774834385,0.157092381664914,126.52544162428,294.193952132429,0.00393410181099599,1.896065898189,28.9019260346998,19826.2322829914,173.767717008575,1.12202754911247,19.0075322400647,1.07797245088753,0.177206500874342,0.121436664011344
3630,1.00833333333333,1463.4770539667,0.157040641522315,126.826883714902,294.188788080647,0.00393284850355127,1.89606715149645,29.0051494181998,19825.9225034486,174.07749655136,1.11994251755171,19.1078597767506,1.08005748244829,0.177628688676334,0.121870375706722
3640,1.01111111111111,1463.37662509067,0.156987947384155,127.128085729445,294.183625718172,0.00393157096069206,1.89606842903931,29.1083379007374,19825.6128265399,174.387173460083,1.11786136054518,19.2084259604895,1.08213863945482,0.178050540237319,0.122303940759401
3650,1.01388888888889,1463.27619680868,0.156934306279869,127.429047857797,294.178465076288,0.00393026936043815,1.89606973063956,29.2114908648073,19825.303254133,174.696745867008,1.11578407089288,19.3092306012164,1.08421592910712,0.178472055823245,0.12273735657482
3660,1.01666666666667,1463.17576911902,0.156879725190752,127.729770289695,294.173306186028,0.00392894387961328,1.89607105612039,29.3146076978745,19824.9937880806,175.006211919417,1.1137106414083,19.4102735090167,1.0862893585917,0.178893235699852,0.123170620579304
3670,1.01944444444444,1463.07534202002,0.156824211058076,128.030253214724,294.168149078213,0.00392759469402696,1.89607240530597,29.4176877916507,19824.6844302226,175.315569777415,1.11164106491822,19.5115544941259,1.08835893508178,0.179314080132667,0.12360373021702
3680,1.02222222222222,1462.97491550999,0.156767770783344,128.330496822323,294.162993783446,0.00392622197848101,1.89607377802152,29.5207305420679,19824.3751823861,175.624817613856,1.10957533426268,19.6130733669296,1.09042466573733,0.179734589387007,0.124036682949865
3690,1.025,1462.87448958726,0.156710411223408,128.630501301778,294.157840332099,0.00392482590666113,1.89607517409334,29.6237353497099,19824.0660463843,175.933953615646,1.10751344229506,19.7148299379632,1.09248655770495,0.180154763727981,0.124469476259285
3700,1.02777777777778,1462.77406425017,0.156652139192956,128.930266842226,294.152688754317,0.00392340665119317,1.89607659334881,29.7267016195887,19823.7570240169,176.242975983064,1.10545538188203,19.8168240179122,1.09454461811797,0.180574603420484,0.12490210764533
3710,1.03055555555556,1462.67363949707,0.156592961464816,129.229793632653,294.147539080026,0.0039219643836506,1.89607803561635,29.8296287611136,19823.4481170703,176.551882929674,1.10340114590352,19.9190554176117,1.09659885409648,0.180994108729206,0.125334574626528
3720,1.03333333333333,1462.57321532632,0.15653288477026,129.529081861898,294.142391338927,0.00392049927456206,1.89607950072544,29.932516188062,19823.1393273177,176.860672682232,1.10135072725266,20.0215239480465,1.09864927274734,0.181413279918624,0.125766874739756
3730,1.03611111111111,1462.4727917363,0.156471915792519,129.828131718647,294.137245560477,0.00391901149324284,1.89608098850676,30.0353633191317,19822.8306565176,177.16934348236,1.09930411883595,20.1242294203509,1.10069588116405,0.181832117253007,0.12619900554257
3740,1.03888888888889,1462.37236872539,0.156410061181278,130.126943391439,294.132101773943,0.00391750120817021,1.89608249879183,30.1381695766932,19822.5221064172,177.477893582769,1.09726131357289,20.2271716458087,1.10273868642711,0.182250620996413,0.126630964607955
3750,1.04166666666667,1462.27194629198,0.156347327544557,130.425517068663,294.126960008374,0.00391596858677255,1.89608403141323,30.2409343874827,19822.2136787506,177.786321249358,1.09522230439617,20.3303504358527,1.10477769560383,0.182668791412693,0.127062749527238
3760,1.04444444444444,1462.17152443448,0.156283721448699,130.723852938559,294.121820292598,0.00391441379542878,1.89608558620457,30.3436571825987,19821.9053752388,178.094624761204,1.09318708425162,20.4337656020649,1.10681291574839,0.183086628765489,0.127494357910078
3770,1.04722222222222,1462.0711031513,0.156219249419766,131.021951189218,294.116682655229,0.00391283699950399,1.8960871630005,30.4463373973789,19821.5971975898,178.402802410186,1.09115564609817,20.5374169561764,1.10884435390183,0.183504133318232,0.127925787383945
3780,1.05,1461.97068244085,0.156153917943827,131.319812008581,294.111547124666,0.00391123836335663,1.89608876163664,30.5489744713717,19821.2891474991,178.710852500903,1.08912798290786,20.6413043100672,1.11087201709215,0.183921305334147,0.128357035593999
3790,1.05277777777778,1461.87026230158,0.156087733467148,131.617435584441,294.106413729099,0.0039096180503432,1.89609038194966,30.6515678483153,19820.9812266494,179.018773350609,1.08710408766575,20.745427475766,1.11289591233426,0.184338145076248,0.128788100203006
3800,1.05555555555556,1461.76984273193,0.156020702388384,131.914822104443,294.101282496471,0.00390797622263189,1.89609202377737,30.7541169768093,19820.6734367087,179.326563291245,1.08508395337013,20.8497862654506,1.11491604662988,0.184754652807343,0.129218978894157
3810,1.05833333333333,1461.66942373035,0.155952831078571,132.211971756081,294.096153454566,0.0039063130416805,1.89609368695832,30.8566213085836,19820.3657793358,179.634220664201,1.08306757303204,20.9543804914468,1.11693242696797,0.18517082879003,0.129649669363797
