reaction_id,reactants,products,k1_author,active_at_reference,ATP_free_delta,ATP_carrier_delta,AMP_free_delta,AMP_carrier_delta,PPi_free_delta,PPi_carrier_delta,MetAMP_free_delta,MetAMP_carrier_delta,GlyAMP_free_delta,GlyAMP_carrier_delta,Met_free_delta,Met_carrier_delta,Gly_free_delta,Gly_carrier_delta,tRNAfMetCAU_free_delta,tRNAfMetCAU_carrier_delta,tRNAGlyGCC_free_delta,tRNAGlyGCC_carrier_delta,MettRNAfMetCAU_free_delta,MettRNAfMetCAU_carrier_delta,GlytRNAGlyGCC_free_delta,GlytRNAGlyGCC_carrier_delta,moiety_adenosine_delta,moiety_pyrophosphate_P_delta,moiety_phosphorus_total_delta,moiety_glycyl_delta,moiety_methionyl_delta,moiety_trna_gly_delta,moiety_trna_fmet_delta,moiety_enzyme_metrs_delta,moiety_enzyme_glyrs_delta
re0000000153,MetRS:1,MetRS_degraded:1,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000154,MetRS_Met_ATP:1,MetRS_degraded:1|Met:1|ATP:1,0.0,false,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000155,MetRS_MetAMP:1,MetRS_degraded:1|MetAMP:1,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000156,MetRS_Met:1,MetRS:1|Met:1,350.0,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000157,MetRS:1|ATP:1,MetRS_ATP:1,10.0,true,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000158,MetRS_ATP:1,MetRS:1|ATP:1,2500.0,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000159,MetRS_ATP:1|Met:1,MetRS_Met_ATP:1,5.0,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000160,MetRS_Met_ATP:1,MetRS_ATP:1|Met:1,350.0,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000161,MetRS_Met:1|ATP:1,MetRS_Met_ATP:1,10.0,true,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000162,MetRS_Met_ATP:1,MetRS_Met:1|ATP:1,2500.0,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000163,MetRS_ATP:1,MetRS_degraded:1|ATP:1,0.0,false,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000164,MetRS_Met:1,MetRS_degraded:1|Met:1,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
