reaction_id,pathway,in_selected_cycle,route_class,reactants,products,k1_author,active_at_reference,subsystem_files
re0000000180,Gly,false,enzyme_cycle_or_branch,GlyRS_AMP_GlytRNAGlyGCC:1,GlyRS_GlytRNAGlyGCC:1|AMP:1,1000.0,true,Aminoacylation_B_GlyGCC
re0000000181,Gly,false,enzyme_cycle_or_branch,GlyRS_GlytRNAGlyGCC:1|AMP:1,GlyRS_AMP_GlytRNAGlyGCC:1,0.0,false,Aminoacylation_B_GlyGCC
re0000000182,Gly,true,enzyme_cycle_or_branch,GlyRS_AMP_GlytRNAGlyGCC:1,GlytRNAGlyGCC:1|GlyRS_AMP:1,353.0,true,Aminoacylation_B_GlyGCC
re0000000183,Gly,false,enzyme_cycle_or_branch,GlyRS_AMP:1|GlytRNAGlyGCC:1,GlyRS_AMP_GlytRNAGlyGCC:1,100.0,true,Aminoacylation_B_GlyGCC
re0000000184,Gly,false,enzyme_cycle_or_branch,GlyRS_GlytRNAGlyGCC:1,GlyRS:1|GlytRNAGlyGCC:1,353.0,true,Aminoacylation_B_GlyGCC
re0000000185,Gly,false,enzyme_cycle_or_branch,GlyRS:1|GlytRNAGlyGCC:1,GlyRS_GlytRNAGlyGCC:1,100.0,true,Aminoacylation_B_GlyGCC
re0000000186,Gly,false,degradation_sink,GlyRS_AMP_GlytRNAGlyGCC:1,GlyRS_degraded:1|AMP:1|GlytRNAGlyGCC:1,0.0,false,Aminoacylation_B_GlyGCC
re0000000187,Gly,false,degradation_sink,GlyRS_GlytRNAGlyGCC:1,GlyRS_degraded:1|GlytRNAGlyGCC:1,0.0,false,Aminoacylation_B_GlyGCC
re0000000188,Gly,false,enzyme_cycle_or_branch,GlyRS_tRNAGlyGCC:1|Gly:1,GlyRS_Gly_tRNAGlyGCC:1,20.0,true,Aminoacylation_B_GlyGCC
re0000000189,Gly,true,enzyme_cycle_or_branch,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,GlyRS_GlyAMP_tRNAGlyGCC:1|PPi:1,1000.0,true,Aminoacylation_B_GlyGCC
re0000000190,Gly,false,enzyme_cycle_or_branch,GlyRS_Gly_tRNAGlyGCC:1,GlyRS_tRNAGlyGCC:1|Gly:1,470.0,true,Aminoacylation_B_GlyGCC
re0000000191,Gly,false,enzyme_cycle_or_branch,GlyRS_tRNAGlyGCC:1|ATP:1,GlyRS_ATP_tRNAGlyGCC:1,10.0,true,Aminoacylation_B_GlyGCC
re0000000192,Gly,false,enzyme_cycle_or_branch,GlyRS_ATP_tRNAGlyGCC:1,GlyRS_tRNAGlyGCC:1|ATP:1,8900.0,true,Aminoacylation_B_GlyGCC
